hospital_name,last_updated_on,version,location_name,hospital_address,license_number|CA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,general_contract_provisions,,,,,,,,,,,,,,
West_hospital_schema,11/14/2025,3.0.0,UH CLEVELAND MEDICAL CENTER,"11100 EUCLID AVE,CLEVELAND,OH,44106",50056,0000000001 | 0000000002 | 0000000003  ,TRUE,Leigh Attester,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,median_amount,10th_percentile,90th_percentile,count,standard_charge|methodology,standard_charge|min,standard_charge|max,additional_generic_notes
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,175869,LOCAL,,inpatient,,,,,Platform Health Insurance,PPO,,50,,21345.12,18765.9,39627.88,23,percent of total billed charges,25678,25678,
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,175869,LOCAL,,inpatient,,,,,Region Health Insurance,HMO,25678,,"If days in visit is less than or equal to 3, then the standard charge is $25,678.00. Otherwise, the standard charge is $25,678.00 plus 80% of billed charges on the days exceeding 3 days.",25678,25678,45964,43,other,25678,25678,The standard charge methodology is a case rate plus additional modifications.
Heart transplant or implant of heart assist system without mcc,2,MS-DRG,123478,LOCAL,,inpatient,,,,,Platform Health Insurance,PPO,,45,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Heart transplant or implant of heart assist system without mcc,2,MS-DRG,123478,LOCAL,,inpatient,,,,,Region Health Insurance,HMO,,40,"40% of billed charges up to billed charges of $1 million, then 50% of billed charges for billed charges in excess of $1 million.",560043.22,256789.17,945001.98,1 through 10,percent of total billed charges,,,
"Evaluation of hearing function to determine candidacy for, or postoperative status of, surgically implanted hearing device; first hour",92626,CPT,,,,outpatient,,,150,125,Platform Health Insurance,PPO,98.98,,,200,,,,fee schedule,98.98,105.34,110% of the Medicare fee schedule.
"Evaluation of hearing function to determine candidacy for, or postoperative status of, surgically implanted hearing device; first hour",92626,CPT,,,,outpatient,,,150,125,Region Health Insurance,HMO,,,,300,,,,fee schedule,98.98,105.34,115% of the state's workers' compensation amount
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem",H0017,HCPCS,,,,inpatient,,,2500,2250,Platform Health Insurance,PPO,,,,,400,,,fee schedule,1500,1500,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 1-3",H0017,HCPCS,,,,inpatient,,,2500,2250,Region Health Insurance,HMO,,,,,,500,,fee schedule,2000,2000,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 4-5",H0017,HCPCS,,,,inpatient,,,2500,2250,Region Health Insurance,HMO,,25,,600,,,,percent of total billed charges,1800,1800,
